,stream,stream_temp,exp_temp,mass,resp,Exp_Temp_K,log_resp,mass_g,x1,x2,log_mass_resp,lnmass,mass_resp
42,11,5.6,30,14.672344,1.1591881179999999,303.15,0.1477198617992693,0.014672344,1.6463014984839848,38.279802442749606,-1.8667534091448943,2.685964361258885,0.15462485142471125
43,11,5.6,30,17.64882362,0.592491681,303.15,-0.5234184465777487,0.01764882362,1.6463014984839848,38.279802442749606,-2.6764202946276026,2.8706691307331385,0.06880902986429237
44,11,5.6,30,17.64882362,1.028636,303.15,0.02823365277403198,0.01764882362,1.6463014984839848,38.279802442749606,-2.1247681952758217,2.8706691307331385,0.11946065660200594
45,11,5.6,30,17.64882362,1.48425,303.15,0.3949095941686478,0.01764882362,1.6463014984839848,38.279802442749606,-1.758092253881206,2.8706691307331385,0.1723733950216863
46,11,5.6,30,21.20034991,0.66051655,303.15,-0.4147330985585025,0.02120034991,1.6463014984839848,38.279802442749606,-2.70524636360633,3.054017686730437,0.0668538514616359
47,11,5.6,30,22.73614465,0.8610625590000001,303.15,-0.14958811865732444,0.02273614465,1.6463014984839848,38.279802442749606,-2.492555068775903,3.123955933491438,0.08269839631175313
48,11,5.6,30,27.31140798,0.41403999999999996,303.15,-0.8817926914665877,0.027311407979999997,1.6463014984839848,38.279802442749606,-3.3622710586897337,3.307304489630861,0.03465646264245283
49,11,5.6,35,1.1439137879999999,0.15250999999999998,308.15,-1.8805251113140449,0.001143913788,2.267424367910394,37.6586795733232,-1.9813667587975659,0.1344555299780279,0.137880658866105
50,11,5.6,35,2.392315845,0.15593421,308.15,-1.8583210914552621,0.002392315845,2.267424367910394,37.6586795733232,-2.512517493652006,0.8722618695956584,0.08106390427839759
51,11,5.6,35,3.4805079460000004,0.34645,308.15,-1.060016770908747,0.0034805079460000004,2.267424367910394,37.6586795733232,-1.995400454380717,1.2471782446292934,0.1359591978075723
52,11,5.6,35,3.4805079460000004,0.070352603,308.15,-2.6542354953955165,0.0034805079460000004,2.267424367910394,37.6586795733232,-3.5896191788674865,1.2471782446292934,0.02760884245217089
