stream,stream_temp,exp_temp,acclimation,length,mass,date_in,time_in,date_out,time_out,duration,feeding
8,19.3,18,warm,0.482,0.014406724,26/06/2017,18:00,26/06/2017,21:00,3,0.022730362
8,19.3,18,warm,0.532,0.018727417,26/06/2017,18:00,26/06/2017,21:00,3,0.02499209
8,19.3,18,warm,0.553,0.020756769,26/06/2017,18:00,26/06/2017,21:00,3,0.023182708
8,19.3,20,warm,0.364,0.006831163,26/06/2017,19:20,26/06/2017,22:20,3,0.043802124
8,19.3,20,warm,0.451,0.012073742,26/06/2017,19:20,26/06/2017,22:20,3,0.042105828
8,19.3,20,warm,0.459,0.012651294,26/06/2017,19:20,26/06/2017,22:20,3,0.041314224
8,19.3,20,warm,0.613,0.027292539,26/06/2017,19:20,26/06/2017,22:20,3,0.045159161
8,19.3,20,warm,0.572,0.022706368,26/06/2017,19:20,26/06/2017,22:20,3,0.023107317
8,19.3,24.5,warm,0.439,0.011238729,26/06/2017,18:20,26/06/2017,21:20,3,0.043915211
8,19.3,24.5,warm,0.496,0.0155457,26/06/2017,18:20,26/06/2017,21:20,3,0.042784347
8,19.3,24.5,warm,0.551,0.020557869,26/06/2017,18:20,26/06/2017,21:20,3,0.003430287
8,19.3,24.5,warm,0.568,0.022286836,26/06/2017,18:20,26/06/2017,21:20,3,0.047647061
8,19.3,24.5,warm,0.582,0.023776644,26/06/2017,18:20,26/06/2017,21:20,3,0.043236692
8,19.3,27.5,warm,0.426,0.010375851,26/06/2017,19:40,26/06/2017,22:40,3,0.0307218
8,19.3,27.5,warm,0.473,0.013702859,26/06/2017,19:40,26/06/2017,22:40,3,0.011157856
8,19.3,27.5,warm,0.471,0.013549422,26/06/2017,19:40,26/06/2017,22:40,3,0.019073903
8,19.3,27.5,warm,0.532,0.018727417,26/06/2017,19:40,26/06/2017,22:40,3,0.009574647
8,19.3,27.5,warm,0.591,0.024766318,26/06/2017,19:40,26/06/2017,22:40,3,0.054243767
9,9.6,5.2,cold,0.375,0.007393598,26/06/2017,18:40,26/06/2017,21:40,3,-0.000188477
